filename,method,clipiqa_plus
330.png,clahe,0.5372097492218018
330.png,gamma,0.4808026850223541
330.png,log,0.4856456518173218
330.png,retinex,0.3024027645587921
330.png,hist_eq,0.4695729911327362
342.png,clahe,0.6029080152511597
342.png,gamma,0.553926408290863
342.png,log,0.5639010071754456
342.png,retinex,0.30495133996009827
342.png,hist_eq,0.464033842086792
344.png,clahe,0.5895954370498657
344.png,gamma,0.5495995283126831
344.png,log,0.5558541417121887
344.png,retinex,0.3307464122772217
344.png,hist_eq,0.4542919993400574
35.png,clahe,0.48034799098968506
35.png,gamma,0.5382530689239502
35.png,log,0.5555239915847778
35.png,retinex,0.5574355125427246
35.png,hist_eq,0.6206918954849243
36.png,clahe,0.49426889419555664
36.png,gamma,0.5671675205230713
36.png,log,0.5839866995811462
36.png,retinex,0.5598915219306946
36.png,hist_eq,0.5553704500198364
38.png,clahe,0.375929057598114
38.png,gamma,0.3811568021774292
38.png,log,0.4339179992675781
38.png,retinex,0.42843934893608093
38.png,hist_eq,0.3793851137161255
39.png,clahe,0.46773654222488403
39.png,gamma,0.5127049684524536
39.png,log,0.5669712424278259
39.png,retinex,0.5338218212127686
39.png,hist_eq,0.48955854773521423
40.png,clahe,0.4881330132484436
40.png,gamma,0.5505252480506897
40.png,log,0.5963752865791321
40.png,retinex,0.5160336494445801
40.png,hist_eq,0.4907582700252533
42.png,clahe,0.37538978457450867
42.png,gamma,0.42597177624702454
42.png,log,0.45296624302864075
42.png,retinex,0.44351381063461304
42.png,hist_eq,0.38107335567474365
43.png,clahe,0.4618474841117859
43.png,gamma,0.552874743938446
43.png,log,0.5967698097229004
43.png,retinex,0.4382474720478058
43.png,hist_eq,0.555277943611145
44.png,clahe,0.46909698843955994
44.png,gamma,0.49557483196258545
44.png,log,0.5450998544692993
44.png,retinex,0.37832963466644287
44.png,hist_eq,0.5366157293319702
45.png,clahe,0.22796308994293213
45.png,gamma,0.3482259511947632
45.png,log,0.3366868495941162
45.png,retinex,0.2952948212623596
45.png,hist_eq,0.3693579435348511
450.png,clahe,0.6334259510040283
450.png,gamma,0.5330212116241455
450.png,log,0.5434215068817139
450.png,retinex,0.3879880905151367
450.png,hist_eq,0.5435131192207336
46.png,clahe,0.23055683076381683
46.png,gamma,0.2999799847602844
46.png,log,0.3354582190513611
